,FullID,Year,avg.HSF,max.HSF,min.HSF,sd.HSF,se.HSF,avg.Lum,max.Lum,min.Lum,sd.Lum,se.Lum,avg.dblwall,max.dblwall,min.dblwall,sd.dblwall,se.dblwall
1,PRM 004 2012,2012,0.26600923,1.750076726,0.016666932,0.188258175,0.006598446,29.54767592,76.2463,0.9775,11.84898465,0.415306697,13.4162527,39.1007,0.9776,5.628088813,0.197264411
2,PRM 004 2013,2013,0.320152455,6.62511509,0.017242839,0.36764295,0.01392547,29.88369455,70.3812,0.9775,13.27224829,0.502722252,14.53374347,39.5895,0.9776,6.523197367,0.247083719
3,PRM 004 2014,2014,0.248688703,4.750102302,0.017242839,0.246283439,0.009172075,36.85822483,73.3138,1.955,13.00928662,0.484491152,14.67089612,37.1456,0.9776,4.906478861,0.182726821
4,PRM 004 2015,2015,0.408729176,12.00025575,0.018520062,0.609116875,0.015633807,31.64438004,81.1339,0.9775,17.57504481,0.451087253,14.69174256,39.5895,0.9776,5.981758639,0.153529912
5,PRM 004 2016,2016,0.229830888,5.749897702,0.034091437,0.323926691,0.014831584,38.63958931,69.4037,1.955,10.01224711,0.458429303,15.1279543,39.5895,1.4663,6.131085353,0.280723114
6,PRM 010 2009,2009,0.198912221,1.107148598,0.019232434,0.141898119,0.002994138,34.27838188,72.3363,0.9775,11.56212513,0.243967957,11.31239671,39.5895,0.9776,5.598370323,0.11812906
7,PRM 010 2010,2010,0.104579855,0.663043913,0.018520062,0.070488726,0.002235767,45.94133672,83.089,9.7752,10.73302681,0.340430938,8.95352998,35.1906,0.9776,4.404745884,0.139710056
8,PRM 010 2012,2012,0.186258231,1.750076726,0.018292987,0.138336516,0.002990405,33.34794944,78.2014,0.9775,11.8406536,0.255958048,10.42814159,39.5894,0.9776,4.453706538,0.096275262
9,PRM 010 2013,2013,0.090512285,1.019232434,0.025000831,0.052984417,0.001707399,44.85717383,75.2688,2.9326,11.08343656,0.357158752,7.579576532,37.6344,0.9776,2.799481192,0.090212021
10,PRM 010 2014,2014,0.156618555,6.250127877,0.016666932,0.255021745,0.004319921,31.53467311,85.044,0.9775,13.94880874,0.236284769,7.096897274,39.5894,0.9776,5.417370081,0.091767122
11,PRM 010 2015,2015,0.145460359,3.750076726,0.016668088,0.246636016,0.00777989,24.49531403,65.4936,0.9775,9.813627872,0.309561224,5.139515124,36.6569,0.9776,4.627851441,0.145981015
12,PRM 010 2016,2016,0.136282388,3.250076726,0.017241957,0.262236872,0.016109083,39.27036264,72.3363,0.9775,15.52366934,0.953611427,7.207824528,38.1232,0.9776,5.103850298,0.313527032
13,PRM 011 2010,2010,0.191514465,2.937482417,0.017242839,0.16696521,0.003453796,29.98764544,66.4712,0.9775,9.877838902,0.204330211,9.945412495,39.5895,0.9776,5.5185071,0.114154293
14,PRM 011 2011,2011,0.168131285,1.568182875,0.017242839,0.133788357,0.002736651,31.57257397,76.2463,0.9775,11.11570399,0.227372545,9.082318326,39.5895,0.9776,5.121034303,0.104751134
15,PRM 011 2012,2012,0.118166067,3.416609834,0.020001719,0.122169542,0.002330105,37.44576668,85.044,0.9775,9.397702293,0.179239743,7.907624336,39.5894,0.9776,4.244740877,0.080958754
