"","ID","TotID","Year","Plot","SPP","Status","RWI.x","gini.x","PmET.x","CMD.x","tCWD.x","mTMX.x","mTMN.x","tPPT.x","TerraDEF.x","TerraPDSI.x","cindex.x","mHSF.x","sdHSF.x","mLumenLength.x","sdLumenLength.x","mdblwall.x","sddblwall.x","mHSFsl.x","sdHSFsl.x","c(TotID)","RWI","gini","PmET","CMD","tCWD","mTMX","mTMN","tPPT","TerraDEF","TerraPDSI","cindex","mHSF","sdHSF","mLumenLength","sdLumenLength","mdblwall","sddblwall","mHSFsl","sdHSFsl","RWI.x1","gini.x1","PmET.x1","CMD.x1","tCWD.x1","mTMX.x1","mTMN.x1","tPPT.x1","TerraDEF.x1","TerraPDSI.x1","cindex.x1","mHSF.x1","sdHSF.x1","mLumenLength.x1","sdLumenLength.x1","RWI.x2","gini.x2","PmET.x2","CMD.x2","tCWD.x2","mTMX.x2","mTMN.x2","tPPT.x2","TerraDEF.x2","TerraPDSI.x2","cindex.x2","mHSF.x2","sdHSF.x2","mLumenLength.x2","sdLumenLength.x2","RWIDEF","RWIDEF1","RWIPET","RWIPET1","RWICWD","RWICWD1","RWICMD","RWICMD1","RWIPDSI","RWIPDSI1","RWITMN","RWITMN1","mHSFDEF","mHSFDEF1","mHSFPET","mHSFPET1","mHSFCWD","mHSFCWD1","mHSFCMD","mHSFCMD1","mHSFPDSI","mHSFPDSI1","mHSFTMN","mHSFTMN1","HSFgini"
"RJP001","RJP001",4546,2017,"RJP","PIJE",0,1.05313300136129,0.146,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05313300136129,0.146,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,1.05313300136129,0.146,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RJP017","RJP017",4547,2017,"RJP","PIJE",0,1.01986385587213,0.154,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01986385587213,0.154,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,1.01986385587213,0.154,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RJP043","RJP043",4548,2017,"RJP","PIJE",0,1.22789028583995,0.249,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22789028583995,0.249,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,1.22789028583995,0.249,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RJP044","RJP044",4549,2017,"RJP","PIJE",0,0.973518319580753,0.203,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.973518319580753,0.203,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,0.973518319580753,0.203,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RJP045","RJP045",4550,2017,"RJP","PILA",0,1.02993386150644,0.226,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02993386150644,0.226,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,1.02993386150644,0.226,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RJP932","RJP932",4551,2017,"RJP","PIJE",0,1.19954975442348,0.249,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19954975442348,0.249,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,1.19954975442348,0.249,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RJP933","RJP933",4552,2017,"RJP","PIJE",0,1.05829817247295,0.275,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05829817247295,0.275,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,1.05829817247295,0.275,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RJP935","RJP935",4553,2017,"RJP","PIJE",0,0.862521303970952,0.218,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.862521303970952,0.218,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,0.862521303970952,0.218,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RJPOP1","RJPOP1",4554,2017,"RJP","PIJE",0,1.18048473375696,0.156,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18048473375696,0.156,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,1.18048473375696,0.156,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RJPOP2","RJPOP2",4555,2017,"RJP","PIJE",0,0.477126610089959,0.213,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477126610089959,0.213,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,0.477126610089959,0.213,NA,588,457.6,28.39,9.63,0.37,555.9,54.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
